REQUEST: 2024/11/23 12:39:27 Requesting https://www.eventbrite.com/d/nj--name/all-events/?page=1 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:39:27-05:00]
REQUEST: 2024/11/23 12:39:28 Finished processing site https://www.eventbrite.com/d/united-states--new-jersey/all-events/?page=1 [Status: 200, Length: 801330 bytes, Timestamp: 2024-11-23T12:39:28-05:00]
REQUEST: 2024/11/23 12:39:28 Requesting https://www.eventbrite.com/d/nj--name/all-events/?page=2 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:39:28-05:00]
REQUEST: 2024/11/23 12:40:05 Requesting https://www.eventbrite.com/d/nj--name/all-events/?page=1 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:40:05-05:00]
REQUEST: 2024/11/23 12:40:05 Finished processing site https://www.eventbrite.com/d/united-states--new-jersey/all-events/?page=1 [Status: 200, Length: 801330 bytes, Timestamp: 2024-11-23T12:40:05-05:00]
REQUEST: 2024/11/23 12:40:05 Requesting https://www.eventbrite.com/d/nj--name/all-events/?page=2 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:40:05-05:00]
REQUEST: 2024/11/23 12:40:05 Finished processing site https://www.eventbrite.com/d/united-states--new-jersey/all-events/?page=2 [Status: 200, Length: 793605 bytes, Timestamp: 2024-11-23T12:40:05-05:00]
REQUEST: 2024/11/23 12:40:05 Requesting https://www.eventbrite.com/d/nj--name/all-events/?page=3 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:40:05-05:00]
REQUEST: 2024/11/23 12:40:07 Finished processing site https://www.eventbrite.com/d/united-states--new-jersey/all-events/?page=3 [Status: 200, Length: 916542 bytes, Timestamp: 2024-11-23T12:40:07-05:00]
REQUEST: 2024/11/23 12:40:07 Requesting https://www.eventbrite.com/d/nj--name/all-events/?page=4 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:40:07-05:00]
REQUEST: 2024/11/23 12:40:07 Requesting https://www.eventbrite.com/e/northeast-remle-2024-nj-registration-1073280403579?aff=ebdssbdestsearch [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:40:07-05:00]
REQUEST: 2024/11/23 12:40:08 Finished processing site https://www.eventbrite.com/e/northeast-remle-2024-nj-registration-1073280403579?aff=ebdssbdestsearch [Status: 200, Length: 197865 bytes, Timestamp: 2024-11-23T12:40:08-05:00]
REQUEST: 2024/11/23 12:40:08 Finished processing site https://www.eventbrite.com/d/united-states--new-jersey/all-events/?page=4 [Status: 200, Length: 923038 bytes, Timestamp: 2024-11-23T12:40:08-05:00]
REQUEST: 2024/11/23 12:40:09 Requesting https://www.eventbrite.com/d/nj--name/all-events/?page=5 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:40:09-05:00]
REQUEST: 2024/11/23 12:40:10 Requesting https://www.eventbrite.com/e/njaapac-43rd-annual-district-conference-tickets-1037272348517?aff=ebdssbdestsearch [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:40:10-05:00]
REQUEST: 2024/11/23 12:40:10 Finished processing site https://www.eventbrite.com/d/united-states--new-jersey/all-events/?page=5 [Status: 200, Length: 918726 bytes, Timestamp: 2024-11-23T12:40:10-05:00]
REQUEST: 2024/11/23 12:40:10 Requesting https://www.eventbrite.com/d/nj--name/all-events/?page=6 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:40:10-05:00]
REQUEST: 2024/11/23 12:40:11 Finished processing site https://www.eventbrite.com/d/united-states--new-jersey/all-events/?page=6 [Status: 200, Length: 911916 bytes, Timestamp: 2024-11-23T12:40:11-05:00]
REQUEST: 2024/11/23 12:40:11 Requesting https://www.eventbrite.com/d/nj--name/all-events/?page=7 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:40:11-05:00]
REQUEST: 2024/11/23 12:40:11 Finished processing site https://www.eventbrite.com/e/njaapac-43rd-annual-district-conference-tickets-1037272348517?aff=ebdssbdestsearch [Status: 200, Length: 187052 bytes, Timestamp: 2024-11-23T12:40:11-05:00]
REQUEST: 2024/11/23 12:40:12 Finished processing site https://www.eventbrite.com/d/united-states--new-jersey/all-events/?page=7 [Status: 200, Length: 920092 bytes, Timestamp: 2024-11-23T12:40:12-05:00]
REQUEST: 2024/11/23 12:40:12 Requesting https://www.eventbrite.com/d/nj--name/all-events/?page=8 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:40:12-05:00]
REQUEST: 2024/11/23 12:40:12 Requesting https://www.eventbrite.com/e/the-philadelphia-boys-choir-tickets-1008612255407?aff=ebdssbdestsearch [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:40:12-05:00]
REQUEST: 2024/11/23 12:45:36 Requesting https://www.eventbrite.com/d/nj--newark/all-events/?page=1 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:45:36-05:00]
REQUEST: 2024/11/23 12:45:38 Finished processing site https://www.eventbrite.com/d/nj--newark/all-events/?page=1 [Status: 200, Length: 910998 bytes, Timestamp: 2024-11-23T12:45:38-05:00]
REQUEST: 2024/11/23 12:45:38 Requesting https://www.eventbrite.com/d/nj--newark/all-events/?page=2 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:45:38-05:00]
REQUEST: 2024/11/23 12:45:38 Requesting https://www.eventbrite.com/e/not-a-normal-holiday-market-nyc-december-2024-tickets-1069055256049?aff=ebdssbdestsearch [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:45:38-05:00]
REQUEST: 2024/11/23 12:45:39 Finished processing site https://www.eventbrite.com/e/not-a-normal-holiday-market-nyc-december-2024-tickets-1069055256049?aff=ebdssbdestsearch [Status: 200, Length: 223922 bytes, Timestamp: 2024-11-23T12:45:39-05:00]
REQUEST: 2024/11/23 12:45:39 Finished processing site https://www.eventbrite.com/d/nj--newark/all-events/?page=2 [Status: 200, Length: 917921 bytes, Timestamp: 2024-11-23T12:45:39-05:00]
REQUEST: 2024/11/23 12:45:39 Requesting https://www.eventbrite.com/d/nj--newark/all-events/?page=3 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:45:39-05:00]
REQUEST: 2024/11/23 12:45:40 Requesting https://www.eventbrite.com/e/santacon-2024-nyc-official-new-york-city-tickets-1010880730477?aff=ebdssbdestsearch [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:45:40-05:00]
REQUEST: 2024/11/23 12:45:40 Finished processing site https://www.eventbrite.com/e/santacon-2024-nyc-official-new-york-city-tickets-1010880730477?aff=ebdssbdestsearch [Status: 200, Length: 223783 bytes, Timestamp: 2024-11-23T12:45:40-05:00]
REQUEST: 2024/11/23 12:45:41 Finished processing site https://www.eventbrite.com/d/nj--newark/all-events/?page=3 [Status: 200, Length: 922820 bytes, Timestamp: 2024-11-23T12:45:41-05:00]
